23.3,0.367,2.46,0.965,1.26,-0.811,-0.349
23.4,0.372,2.43,0.965,1.24,-0.816,-0.329
23.5,0.376,2.4,0.963,1.23,-0.822,-0.308
23.6,0.381,2.37,0.961,1.21,-0.827,-0.287
23.7,0.384,2.35,0.959,1.19,-0.831,-0.267
23.8,0.388,2.32,0.956,1.18,-0.836,-0.246
23.9,0.391,2.29,0.953,1.16,-0.84,-0.226
24,0.394,2.26,0.95,1.14,-0.844,-0.206
24.1,0.396,2.22,0.946,1.13,-0.847,-0.187
24.2,0.398,2.19,0.942,1.11,-0.851,-0.167
24.3,0.4,2.16,0.937,1.09,-0.854,-0.148
24.4,0.401,2.13,0.932,1.07,-0.858,-0.128
24.5,0.402,2.09,0.926,1.05,-0.861,-0.109
24.6,0.402,2.06,0.921,1.03,-0.864,-0.0905
24.7,0.402,2.03,0.915,1.01,-0.868,-0.0719
24.8,0.402,1.99,0.908,0.99,-0.871,-0.0535
24.9,0.401,1.96,0.902,0.968,-0.874,-0.0354
25,0.4,1.92,0.895,0.947,-0.878,-0.0176
25.1,0.399,1.89,0.887,0.924,-0.881,0.0000902
25.2,0.398,1.85,0.88,0.901,-0.885,0.0175
25.3,0.396,1.81,0.872,0.878,-0.889,0.0346
25.4,0.394,1.78,0.865,0.854,-0.892,0.0515
25.5,0.391,1.74,0.857,0.829,-0.897,0.0682
25.6,0.388,1.7,0.849,0.804,-0.901,0.0846
25.7,0.385,1.67,0.841,0.778,-0.905,0.101
25.8,0.382,1.63,0.833,0.752,-0.91,0.117
25.9,0.378,1.59,0.825,0.725,-0.915,0.132
26,0.375,1.55,0.816,0.698,-0.92,0.148
26.1,0.371,1.52,0.808,0.67,-0.925,0.163
26.2,0.366,1.48,0.8,0.642,-0.93,0.178
26.3,0.362,1.44,0.792,0.613,-0.936,0.192
26.4,0.357,1.41,0.785,0.583,-0.942,0.207
26.5,0.353,1.37,0.777,0.553,-0.948,0.221
26.6,0.348,1.33,0.77,0.523,-0.955,0.235
26.7,0.343,1.29,0.763,0.492,-0.962,0.248
26.8,0.337,1.26,0.756,0.46,-0.968,0.262
26.9,0.332,1.22,0.749,0.428,-0.976,0.275
27,0.327,1.18,0.743,0.396,-0.983,0.288
27.1,0.321,1.15,0.737,0.363,-0.99,0.301
27.2,0.316,1.11,0.731,0.33,-0.998,0.314
27.3,0.31,1.07,0.726,0.296,-1.01,0.326
27.4,0.305,1.04,0.722,0.262,-1.01,0.338
27.5,0.299,1,0.718,0.228,-1.02,0.35
27.6,0.294,0.966,0.714,0.193,-1.03,0.362
27.7,0.288,0.931,0.711,0.158,-1.04,0.373
27.8,0.283,0.896,0.708,0.123,-1.05,0.385
27.9,0.277,0.861,0.706,0.0875,-1.05,0.396
28,0.272,0.827,0.705,0.0518,-1.06,0.407
28.1,0.267,0.794,0.704,0.016,-1.07,0.418
28.2,0.261,0.76,0.703,-0.0199,-1.08,0.428
28.3,0.256,0.727,0.704,-0.0559,-1.09,0.439
28.4,0.251,0.695,0.705,-0.092,-1.09,0.449
28.5,0.247,0.662,0.706,-0.128,-1.1,0.459
28.6,0.242,0.631,0.708,-0.164,-1.11,0.469
28.7,0.237,0.599,0.711,-0.2,-1.11,0.479
28.8,0.233,0.568,0.715,-0.235,-1.12,0.489
28.9,0.229,0.538,0.719,-0.271,-1.12,0.498
29,0.225,0.508,0.723,-0.306,-1.13,0.507
29.1,0.222,0.478,0.729,-0.341,-1.14,0.516
29.2,0.218,0.449,0.735,-0.376,-1.14,0.525
29.3,0.215,0.421,0.741,-0.41,-1.14,0.534
29.4,0.212,0.393,0.748,-0.443,-1.15,0.542
29.5,0.209,0.365,0.756,-0.476,-1.15,0.55
29.6,0.207,0.338,0.764,-0.509,-1.15,0.558
29.7,0.205,0.311,0.773,-0.541,-1.15,0.566
29.8,0.203,0.285,0.782,-0.572,-1.15,0.573
29.9,0.201,0.259,0.792,-0.602,-1.15,0.581
30,0.2,0.234,0.802,-0.632,-1.15,0.588
30.1,0.199,0.209,0.812,-0.66,-1.15,0.594
30.2,0.198,0.185,0.823,-0.688,-1.14,0.601
30.3,0.198,0.161,0.835,-0.715,-1.14,0.607
30.4,0.198,0.138,0.846,-0.74,-1.13,0.612
30.5,0.198,0.115,0.858,-0.765,-1.13,0.618
30.6,0.199,0.0925,0.871,-0.788,-1.12,0.623
30.7,0.2,0.0708,0.883,-0.81,-1.11,0.628
30.8,0.201,0.0495,0.896,-0.831,-1.1,0.632
30.9,0.203,0.0288,0.909,-0.851,-1.09,0.636
31,0.205,0.00867,0.922,-0.869,-1.08,0.64
31.1,0.207,-0.011,0.935,-0.886,-1.07,0.643
31.2,0.21,-0.0301,0.948,-0.901,-1.06,0.645
31.3,0.213,-0.0487,0.961,-0.915,-1.04,0.648
31.4,0.216,-0.0667,0.975,-0.927,-1.03,0.649
31.5,0.22,-0.0843,0.988,-0.938,-1.01,0.651
31.6,0.224,-0.101,1,-0.947,-0.991,0.651
31.7,0.228,-0.118,1.01,-0.955,-0.972,0.652
31.8,0.233,-0.134,1.03,-0.961,-0.952,0.651
31.9,0.238,-0.149,1.04,-0.965,-0.931,0.651
32,0.243,-0.164,1.05,-0.967,-0.91,0.649
32.1,0.248,-0.178,1.06,-0.968,-0.887,0.647
32.2,0.254,-0.192,1.08,-0.967,-0.863,0.645
32.3,0.26,-0.205,1.09,-0.965,-0.838,0.642
32.4,0.267,-0.217,1.1,-0.96,-0.813,0.638
32.5,0.274,-0.229,1.11,-0.954,-0.786,0.634
32.6,0.28,-0.241,1.12,-0.947,-0.759,0.629
32.7,0.288,-0.251,1.13,-0.937,-0.731,0.624
32.8,0.295,-0.262,1.14,-0.926,-0.702,0.618
32.9,0.303,-0.271,1.15,-0.912,-0.673,0.612
33,0.311,-0.281,1.16,-0.898,-0.642,0.605
33.1,0.319,-0.289,1.17,-0.881,-0.611,0.597
33.2,0.327,-0.297,1.18,-0.863,-0.58,0.589
33.3,0.336,-0.305,1.19,-0.843,-0.548,0.58
33.4,0.345,-0.312,1.2,-0.821,-0.515,0.571
33.5,0.354,-0.318,1.2,-0.798,-0.482,0.561
33.6,0.363,-0.324,1.21,-0.773,-0.448,0.551
33.7,0.372,-0.329,1.21,-0.747,-0.414,0.54
33.8,0.381,-0.334,1.22,-0.719,-0.379,0.529
33.9,0.391,-0.338,1.22,-0.689,-0.344,0.517
34,0.4,-0.342,1.23,-0.658,-0.309,0.504
34.1,0.41,-0.345,1.23,-0.626,-0.274,0.492
34.2,0.419,-0.347,1.24,-0.592,-0.238,0.478
34.3,0.429,-0.349,1.24,-0.557,-0.202,0.465
34.4,0.439,-0.351,1.24,-0.52,-0.167,0.451
34.5,0.449,-0.352,1.24,-0.482,-0.13,0.436
34.6,0.458,-0.352,1.25,-0.443,-0.0944,0.422
34.7,0.468,-0.352,1.25,-0.403,-0.0583,0.407
34.8,0.478,-0.352,1.25,-0.362,-0.0222,0.391
34.9,0.487,-0.351,1.25,-0.319,0.0138,0.376
35,0.497,-0.35,1.25,-0.276,0.0497,0.36
35.1,0.506,-0.348,1.25,-0.232,0.0855,0.344
35.2,0.516,-0.346,1.24,-0.187,0.121,0.327
35.3,0.525,-0.343,1.24,-0.141,0.157,0.311
35.4,0.534,-0.34,1.24,-0.0939,0.192,0.294
35.5,0.543,-0.336,1.24,-0.0464,0.227,0.277
35.6,0.552,-0.332,1.23,0.0017,0.261,0.261
35.7,0.56,-0.328,1.23,0.0504,0.296,0.244
35.8,0.569,-0.323,1.23,0.0997,0.33,0.227
35.9,0.577,-0.318,1.22,0.149,0.363,0.21
36,0.585,-0.313,1.22,0.2,0.396,0.192
36.1,0.592,-0.307,1.21,0.25,0.429,0.175
36.2,0.6,-0.301,1.21,0.301,0.461,0.158
36.3,0.607,-0.295,1.2,0.352,0.493,0.142
36.4,0.614,-0.288,1.2,0.403,0.524,0.125
36.5,0.62,-0.281,1.19,0.454,0.555,0.108
36.6,0.626,-0.273,1.19,0.505,0.585,0.0913
36.7,0.632,-0.266,1.18,0.556,0.614,0.0749
36.8,0.638,-0.258,1.18,0.607,0.643,0.0586
36.9,0.643,-0.25,1.17,0.658,0.671,0.0425
37,0.648,-0.241,1.16,0.709,0.699,0.0266
37.1,0.652,-0.233,1.16,0.759,0.726,0.0109
37.2,0.656,-0.224,1.15,0.809,0.752,-0.0045
37.3,0.66,-0.214,1.14,0.858,0.778,-0.0197
